ccp_mapping,source_name,pollutant,year,value,units
Agriculture,Agriculture - stationary combustion,CO2,1990,0.06680865334404475,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,1995,0.08242390417985097,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,1998,0.056926947735475616,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,1999,0.06646458972416144,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2000,0.052402031235815334,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2001,0.07479310784898381,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2002,0.07150016521463759,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2003,0.07197668819795101,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2004,0.0708060328891133,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2005,0.06553735304830306,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2006,0.05761825673793728,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2007,0.055932367336773064,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2008,0.04001282619261322,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2009,0.03533846847663083,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2010,0.03250445791093525,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2011,0.03311010707595806,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2012,0.03471943773269649,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2013,0.03428922096590879,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2014,0.03295336601099825,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2015,0.03056159002170454,megatonnes of co2 equivelant
Agriculture,Agriculture - stationary combustion,CO2,2016,0.03092409114601943,megatonnes of co2 equivelant
