second_tier_authority,name,code,year,population_000s_mid_year_estimate,area_km2
Scotland,Aberdeen City,S12000033,2005,208.68999999999986,205.6013
Scotland,Aberdeen City,S12000033,2006,209.61999999999992,205.6013
Scotland,Aberdeen City,S12000033,2007,212.46,205.6013
Scotland,Aberdeen City,S12000033,2008,214.0200000000002,205.6013
Scotland,Aberdeen City,S12000033,2009,217.02000000000018,205.6013
Scotland,Aberdeen City,S12000033,2010,219.7299999999998,205.6013
Scotland,Aberdeen City,S12000033,2011,222.46,205.6013
Scotland,Aberdeen City,S12000033,2012,224.9099999999999,205.6013
Scotland,Aberdeen City,S12000033,2013,227.0699999999999,205.6013
Scotland,Aberdeen City,S12000033,2014,228.92000000000004,205.6013
Scotland,Aberdeen City,S12000033,2015,230.35000000000014,205.6013
Scotland,Aberdeen City,S12000033,2016,229.8400000000001,205.6013
Scotland,Aberdeen City,S12000033,2017,228.80000000000013,205.6013
Scotland,Aberdeen City,S12000033,2018,227.56000000000017,205.6013
Scotland,Aberdeenshire,S12000034,2005,237.5699999999999,6338.1488
Scotland,Aberdeenshire,S12000034,2006,241.18000000000012,6338.1488
Scotland,Aberdeenshire,S12000034,2007,244.3900000000001,6338.1488
Scotland,Aberdeenshire,S12000034,2008,246.8400000000001,6338.1488
Scotland,Aberdeenshire,S12000034,2009,249.0200000000002,6338.1488
Scotland,Aberdeenshire,S12000034,2010,251.43000000000012,6338.1488
Scotland,Aberdeenshire,S12000034,2011,253.64999999999986,6338.1488
Scotland,Aberdeenshire,S12000034,2012,255.56000000000014,6338.1488
Scotland,Aberdeenshire,S12000034,2013,257.7700000000002,6338.1488
Scotland,Aberdeenshire,S12000034,2014,260.5299999999998,6338.1488
Scotland,Aberdeenshire,S12000034,2015,261.96,6338.1488
Scotland,Aberdeenshire,S12000034,2016,262.1899999999998,6338.1488
Scotland,Aberdeenshire,S12000034,2017,261.8000000000001,6338.1488
Scotland,Aberdeenshire,S12000034,2018,261.4700000000002,6338.1488
Scotland,Angus,S12000041,2005,111.34000000000005,2203.8928
Scotland,Angus,S12000041,2006,112.5,2203.8928
Scotland,Angus,S12000041,2007,113.53999999999998,2203.8928
Scotland,Angus,S12000041,2008,114.4899999999999,2203.8928
Scotland,Angus,S12000041,2009,114.82999999999996,2203.8928
Scotland,Angus,S12000041,2010,115.40999999999995,2203.8928
Scotland,Angus,S12000041,2011,116.19999999999993,2203.8928
Scotland,Angus,S12000041,2012,116.21999999999991,2203.8928
Scotland,Angus,S12000041,2013,116.28999999999998,2203.8928
Scotland,Angus,S12000041,2014,116.7399999999999,2203.8928
Scotland,Angus,S12000041,2015,116.90000000000006,2203.8928
Scotland,Angus,S12000041,2016,116.52,2203.8928
Scotland,Angus,S12000041,2017,116.28000000000009,2203.8928
Scotland,Angus,S12000041,2018,116.03999999999998,2203.8928
Scotland,Argyll and Bute,S12000035,2005,90.34999999999995,7165.1715
Scotland,Argyll and Bute,S12000035,2006,90.86999999999993,7165.1715
Scotland,Argyll and Bute,S12000035,2007,90.78999999999998,7165.1715
Scotland,Argyll and Bute,S12000035,2008,89.90999999999998,7165.1715
Scotland,Argyll and Bute,S12000035,2009,89.44999999999997,7165.1715
Scotland,Argyll and Bute,S12000035,2010,88.61999999999993,7165.1715
Scotland,Argyll and Bute,S12000035,2011,88.92999999999999,7165.1715
Scotland,Argyll and Bute,S12000035,2012,86.90999999999998,7165.1715
Scotland,Argyll and Bute,S12000035,2013,88.05000000000003,7165.1715
Scotland,Argyll and Bute,S12000035,2014,87.65000000000005,7165.1715
Scotland,Argyll and Bute,S12000035,2015,86.89,7165.1715
Scotland,Argyll and Bute,S12000035,2016,87.13000000000007,7165.1715
Scotland,Argyll and Bute,S12000035,2017,86.80999999999996,7165.1715
Scotland,Argyll and Bute,S12000035,2018,86.26000000000006,7165.1715
Scotland,City of Edinburgh,S12000036,2005,449.47999999999973,273.0043
