second_tier_authority,name,code,year,emissions_sector,emissions_sector_subsector,value,units
Scotland,Aberdeen City,S12000033,2005,Industry and Commercial,A Industry And Commercial Electricity,459.6151981201724,kilotonnes
Scotland,Aberdeen City,S12000033,2005,Industry and Commercial,B Industry And Commercial Gas,258.963439385944,kilotonnes
Scotland,Aberdeen City,S12000033,2005,Industry and Commercial,C Large Industrial Installations,32.45234090736681,kilotonnes
Scotland,Aberdeen City,S12000033,2005,Industry and Commercial,D Industrial And Commercial Other Fuels,170.78119068617784,kilotonnes
Scotland,Aberdeen City,S12000033,2005,Industry and Commercial,E Agriculture,4.77652622099492,kilotonnes
Scotland,Aberdeen City,S12000033,2005,Domestic,F Domestic Electricity,269.7359313458266,kilotonnes
Scotland,Aberdeen City,S12000033,2005,Domestic,G Domestic Gas,309.2377127300245,kilotonnes
Scotland,Aberdeen City,S12000033,2005,Domestic,H Domestic Other Fuels,8.885598720783229,kilotonnes
Scotland,Aberdeen City,S12000033,2005,Transport,I Road Transport A Roads,163.01158361487893,kilotonnes
Scotland,Aberdeen City,S12000033,2005,Transport,J Road Transport Motorways,0,kilotonnes
Scotland,Aberdeen City,S12000033,2005,Transport,K Road Transport Minor Roads,162.44474259064958,kilotonnes
Scotland,Aberdeen City,S12000033,2005,Transport,L Diesel Railways,1.7916635910625947,kilotonnes
Scotland,Aberdeen City,S12000033,2005,Transport,M Transport Other,22.064378176502277,kilotonnes
Scotland,Aberdeen City,S12000033,2005,LULUCF,N Lulucf Net Emissions Forest,-18.60075003635927,kilotonnes
Scotland,Aberdeen City,S12000033,2005,LULUCF,O Lulucf Net Emissions Cropland,39.47779567768415,kilotonnes
Scotland,Aberdeen City,S12000033,2005,LULUCF,P Lulucf Net Emissions Grassland,-17.287882994746486,kilotonnes
Scotland,Aberdeen City,S12000033,2005,LULUCF,Q Lulucf Net Emissions Wetlands,0,kilotonnes
Scotland,Aberdeen City,S12000033,2005,LULUCF,R Lulucf Net Emissions Settlements,7.705015304686338,kilotonnes
Scotland,Aberdeen City,S12000033,2005,LULUCF,S Lulucf Net Emissions Harvested Wood Products,0,kilotonnes
Scotland,Aberdeen City,S12000033,2006,Industry and Commercial,A Industry And Commercial Electricity,469.2924428729477,kilotonnes
Scotland,Aberdeen City,S12000033,2006,Industry and Commercial,B Industry And Commercial Gas,191.84949173907748,kilotonnes
Scotland,Aberdeen City,S12000033,2006,Industry and Commercial,C Large Industrial Installations,91.36280794340547,kilotonnes
Scotland,Aberdeen City,S12000033,2006,Industry and Commercial,D Industrial And Commercial Other Fuels,151.98727810908605,kilotonnes
Scotland,Aberdeen City,S12000033,2006,Industry and Commercial,E Agriculture,4.742668664260979,kilotonnes
Scotland,Aberdeen City,S12000033,2006,Domestic,F Domestic Electricity,278.1802601004728,kilotonnes
Scotland,Aberdeen City,S12000033,2006,Domestic,G Domestic Gas,300.22833747436533,kilotonnes
Scotland,Aberdeen City,S12000033,2006,Domestic,H Domestic Other Fuels,9.170445861734466,kilotonnes
Scotland,Aberdeen City,S12000033,2006,Transport,I Road Transport A Roads,173.24104738138567,kilotonnes
Scotland,Aberdeen City,S12000033,2006,Transport,J Road Transport Motorways,0,kilotonnes
Scotland,Aberdeen City,S12000033,2006,Transport,K Road Transport Minor Roads,164.59630251321644,kilotonnes
Scotland,Aberdeen City,S12000033,2006,Transport,L Diesel Railways,1.785254963425053,kilotonnes
Scotland,Aberdeen City,S12000033,2006,Transport,M Transport Other,22.563840645332697,kilotonnes
Scotland,Aberdeen City,S12000033,2006,LULUCF,N Lulucf Net Emissions Forest,-18.678916251471723,kilotonnes
Scotland,Aberdeen City,S12000033,2006,LULUCF,O Lulucf Net Emissions Cropland,38.425986724802776,kilotonnes
Scotland,Aberdeen City,S12000033,2006,LULUCF,P Lulucf Net Emissions Grassland,-17.638789570570356,kilotonnes
Scotland,Aberdeen City,S12000033,2006,LULUCF,Q Lulucf Net Emissions Wetlands,0,kilotonnes
Scotland,Aberdeen City,S12000033,2006,LULUCF,R Lulucf Net Emissions Settlements,7.54587604409209,kilotonnes
Scotland,Aberdeen City,S12000033,2006,LULUCF,S Lulucf Net Emissions Harvested Wood Products,0,kilotonnes
