country,name,code,year,statistic,value,units
Scotland,Aberdeen City,S12000033,2005,Emissions per Capita,8.984879409850256,tonnes
Scotland,Aberdeen City,S12000033,2005,Emissions per Km2,9.119857141183681,kilotonnes
Scotland,Aberdeen City,S12000033,2006,Emissions per Capita,8.914484949983605,tonnes
Scotland,Aberdeen City,S12000033,2006,Emissions per Km2,9.088728209479036,kilotonnes
Scotland,Aberdeen City,S12000033,2007,Emissions per Capita,8.527740786466037,tonnes
Scotland,Aberdeen City,S12000033,2007,Emissions per Km2,8.812219608983863,kilotonnes
Scotland,Aberdeen City,S12000033,2008,Emissions per Capita,8.391710367806388,tonnes
Scotland,Aberdeen City,S12000033,2008,Emissions per Km2,8.735323428976008,kilotonnes
Scotland,Aberdeen City,S12000033,2009,Emissions per Capita,7.490898509709824,tonnes
Scotland,Aberdeen City,S12000033,2009,Emissions per Km2,7.906928577675469,kilotonnes
Scotland,Aberdeen City,S12000033,2010,Emissions per Capita,7.710795590919065,tonnes
Scotland,Aberdeen City,S12000033,2010,Emissions per Km2,8.240673163023018,kilotonnes
Scotland,Aberdeen City,S12000033,2011,Emissions per Capita,7.112313776912621,tonnes
Scotland,Aberdeen City,S12000033,2011,Emissions per Km2,7.695502522659057,kilotonnes
Scotland,Aberdeen City,S12000033,2012,Emissions per Capita,7.372465522697961,tonnes
Scotland,Aberdeen City,S12000033,2012,Emissions per Km2,8.0648382121611,kilotonnes
Scotland,Aberdeen City,S12000033,2013,Emissions per Capita,6.962467790063232,tonnes
Scotland,Aberdeen City,S12000033,2013,Emissions per Km2,7.689482318884449,kilotonnes
Scotland,Aberdeen City,S12000033,2014,Emissions per Capita,6.2461882458225455,tonnes
Scotland,Aberdeen City,S12000033,2014,Emissions per Km2,6.954612705433756,kilotonnes
Scotland,Aberdeen City,S12000033,2015,Emissions per Capita,5.99569930691582,tonnes
Scotland,Aberdeen City,S12000033,2015,Emissions per Km2,6.717415382821314,kilotonnes
Scotland,Aberdeen City,S12000033,2016,Emissions per Capita,5.611682858669241,tonnes
Scotland,Aberdeen City,S12000033,2016,Emissions per Km2,6.273254051586925,kilotonnes
Scotland,Aberdeen City,S12000033,2017,Emissions per Capita,5.406402745960569,tonnes
Scotland,Aberdeen City,S12000033,2017,Emissions per Km2,6.016425714602868,kilotonnes
Scotland,Aberdeen City,S12000033,2018,Emissions per Capita,5.318914672885687,tonnes
Scotland,Aberdeen City,S12000033,2018,Emissions per Km2,5.886987207580243,kilotonnes
Scotland,Aberdeenshire,S12000034,2005,Emissions per Capita,9.23850289257058,tonnes
Scotland,Aberdeenshire,S12000034,2005,Emissions per Km2,0.3462826767632833,kilotonnes
Scotland,Aberdeenshire,S12000034,2006,Emissions per Capita,9.764800585136403,tonnes
Scotland,Aberdeenshire,S12000034,2006,Emissions per Km2,0.37157136562069965,kilotonnes
Scotland,Aberdeenshire,S12000034,2007,Emissions per Capita,9.608309420131578,tonnes
Scotland,Aberdeenshire,S12000034,2007,Emissions per Km2,0.3704827408258319,kilotonnes
Scotland,Aberdeenshire,S12000034,2008,Emissions per Capita,9.022094251213161,tonnes
Scotland,Aberdeenshire,S12000034,2008,Emissions per Km2,0.35136659224053834,kilotonnes
Scotland,Aberdeenshire,S12000034,2009,Emissions per Capita,7.94405931516826,tonnes
Scotland,Aberdeenshire,S12000034,2009,Emissions per Km2,0.31211473777062504,kilotonnes
Scotland,Aberdeenshire,S12000034,2010,Emissions per Capita,8.047027883598311,tonnes
Scotland,Aberdeenshire,S12000034,2010,Emissions per Km2,0.31922005693099603,kilotonnes
Scotland,Aberdeenshire,S12000034,2011,Emissions per Capita,7.044121356576409,tonnes
Scotland,Aberdeenshire,S12000034,2011,Emissions per Km2,0.2819027193075059,kilotonnes
Scotland,Aberdeenshire,S12000034,2012,Emissions per Capita,7.348160637322625,tonnes
Scotland,Aberdeenshire,S12000034,2012,Emissions per Km2,0.29628460797167955,kilotonnes
Scotland,Aberdeenshire,S12000034,2013,Emissions per Capita,7.149601898284681,tonnes
Scotland,Aberdeenshire,S12000034,2013,Emissions per Km2,0.29077147594276165,kilotonnes
Scotland,Aberdeenshire,S12000034,2014,Emissions per Capita,6.678464914126944,tonnes
Scotland,Aberdeenshire,S12000034,2014,Emissions per Km2,0.2745187150035814,kilotonnes
Scotland,Aberdeenshire,S12000034,2015,Emissions per Capita,6.234678571153702,tonnes
Scotland,Aberdeenshire,S12000034,2015,Emissions per Km2,0.2576835050794995,kilotonnes
Scotland,Aberdeenshire,S12000034,2016,Emissions per Capita,5.941330400779837,tonnes
